"run
number",start_run,end_run,"kin
study","beam_on_target
[sec]","evts
replayed","beam
energy
[GeV]",target,"target
mass
[amu]","HMS_P
[GeV/c]","HMS_Angle
[deg]","SHMS_P
[GeV/c]","SHMS_Angle
[deg]","BCM4A
thrs
[uA]","BCM4A
current
[uA]","BCM4A
charge
[mC]","integrated
luminosity
[fb^-1]",lumiNorm_counts[fb],PS1,PS2,PS3,PS5,PS6,"T1
scaler_rates
[kHz]","T2
scaler_rates
[kHz]","T3
scaler_rates
[kHz]","T5
scaler_rates
[kHz]","T6
scaler_rates
[kHz]","T1
accp_rates
[kHz]","T2
accp_rates
[kHz]","T3
accp_rates
[kHz]","T5
accp_rates
[kHz]","T6
accp_rates
[kHz]",T1_tLT,T2_tLT,T3_tLT,T5_tLT,T6_tLT,"HMS
TrkEff","SHMS
TrkEff","heep_singles
counts","heep_singles
rates [Hz]","heep_coin
counts","heep_coin
rates [Hz]","MF_real
counts","MF_real
rates [Hz]","SRC_real
counts","SRC_real
rates [Hz]",simc_counts_goal,"simc_charge_goal
[mC]","simc_integrated
luminosity
[fb^-1]",simc_lumiNorm_counts[fb],Comments
17007,            2022-09-20 23:57:47,           2022-09-21 00:06:27,           SRC,         388.927,          51868,       10.5494,     LD2,        2.014102,      1.3250,   -66.400,       8.5500,    8.300,        >5.00,        9.998,         3.889,          12.119,                  1.4030 ,-1,1025,9,1,-1,68.501,52.944,0.573,0.003,0.005,0.060,0.059,0.067,0.004,0.004,nan,969.230,8.510,0.946,nan,0.997,0.994,nan,nan,nan,nan,nan,nan,17.00,0.044,5300.000,2016.000,6282.8392,0.8436,
17008,            2022-09-21 00:30:23,           2022-09-21 01:33:16,           SRC,         1589.789,          449390,       10.5494,     Ca40,        39.962591,      1.3250,   -66.400,       8.5500,    8.300,        >5.00,        12.213,         19.416,          1.461,                  59.5530 ,-1,257,33,1,-1,37.620,28.425,4.476,0.010,0.017,0.127,0.125,0.146,0.010,0.010,nan,243.787,31.303,0.949,nan,0.996,0.995,nan,nan,nan,nan,nan,nan,87.00,0.055,8700.000,3456.000,260.0255,33.4583,
17009,            2022-09-21 01:33:57,           2022-09-21 02:13:11,           SRC,         883.229,          268159,       10.5494,     Ca40,        39.962591,      1.3250,   -66.400,       8.5500,    8.300,        >5.00,        13.034,         11.512,          0.866,                  74.8140 ,-1,257,33,1,-1,40.345,30.435,4.788,0.011,0.019,0.137,0.135,0.157,0.011,0.011,nan,243.283,31.239,0.947,nan,0.996,0.995,nan,nan,nan,nan,nan,nan,64.80,0.073,8700.000,3456.000,260.0255,33.4583,64.8_SRC
17011,            2022-09-21 02:24:13,           2022-09-21 03:23:56,           SRC,         2292.676,          608880,       10.5494,     Ca40,        39.962591,      1.3250,   -66.400,       8.5500,    8.300,        >5.00,        50.386,         115.519,          8.692,                  58.2870 ,-1,2049,257,1,-1,179.798,125.380,18.483,0.117,0.259,0.193,0.189,0.191,0.118,0.105,nan,1927.131,241.714,0.941,nan,0.997,0.979,nan,nan,nan,nan,nan,nan,506.60,0.221,8700.000,3456.000,260.0255,33.4583,506.6_SRC
17012,            2022-09-21 03:24:35,           2022-09-21 04:24:42,           SRC,         1413.777,          408565,       10.5494,     Ca40,        39.962591,      1.3250,   -66.400,       8.5500,    8.300,        >5.00,        51.797,         73.229,          5.510,                  48.3150 ,-1,2049,257,1,-1,186.935,129.697,18.996,0.127,0.284,0.206,0.202,0.203,0.128,0.113,nan,1928.727,241.915,0.941,nan,0.996,0.978,nan,nan,nan,nan,nan,nan,266.20,0.188,8700.000,3456.000,260.0255,33.4583,
17013,            2022-09-21 04:25:47,           2022-09-21 05:24:12,           SRC,         2070.148,          589060,       10.5494,     Ca40,        39.962591,      1.3250,   -66.400,       8.5500,    8.300,        >5.00,        52.986,         109.689,          8.253,                  55.8840 ,-1,2049,257,1,-1,190.712,132.411,19.428,0.128,0.285,0.209,0.204,0.205,0.129,0.114,nan,1928.336,241.866,0.941,nan,0.996,0.978,nan,nan,nan,nan,nan,nan,461.20,0.223,8700.000,3456.000,260.0255,33.4583,461.2_SRC
17014,            2022-09-21 05:25:07,           2022-09-21 06:31:08,           SRC,         2254.520,          610748,       10.5494,     Ca40,        39.962591,      1.3250,   -66.400,       8.5500,    8.300,        >5.00,        51.026,         115.039,          8.655,                  56.6580 ,-1,2049,257,1,-1,182.344,127.117,18.706,0.119,0.263,0.196,0.192,0.193,0.120,0.106,nan,1927.183,241.721,0.941,nan,0.996,0.980,nan,nan,nan,nan,nan,nan,490.40,0.218,8700.000,3456.000,260.0255,33.4583,217.7_SRC
17016,            2022-09-21 07:32:20,           2022-09-21 08:31:35,           SRC,         2026.783,          522979,       10.5494,     Ca40,        39.962591,      1.3250,   -66.400,       8.5500,    8.300,        >5.00,        48.821,         98.949,          7.445,                  47.8720 ,-1,2049,257,1,-1,173.885,121.498,17.892,0.112,0.247,0.185,0.181,0.183,0.113,0.100,nan,1926.967,241.694,0.940,nan,0.996,0.980,nan,nan,nan,nan,nan,nan,356.40,0.176,8700.000,3456.000,260.0255,33.4583,
17017,            2022-09-21 08:32:47,           2022-09-21 09:34:52,           SRC,         2115.842,          575062,       10.5494,     Ca40,        39.962591,      1.3250,   -66.400,       8.5500,    8.300,        >5.00,        51.277,         108.493,          8.163,                  48.7570 ,-1,2049,257,1,-1,183.126,127.621,18.765,0.119,0.264,0.197,0.192,0.194,0.120,0.106,nan,1926.956,241.692,0.940,nan,0.996,0.980,nan,nan,nan,nan,nan,nan,398.00,0.188,8700.000,3456.000,260.0255,33.4583,
17018,            2022-09-21 09:36:02,           2022-09-21 10:35:27,           SRC,         2732.463,          763105,       10.5494,     Ca40,        39.962591,      1.3250,   -66.400,       8.5500,    8.300,        >5.00,        53.259,         145.527,          10.949,                  46.6510 ,-1,2049,257,1,-1,190.731,132.730,19.491,0.126,0.279,0.207,0.202,0.203,0.127,0.112,nan,1923.867,241.305,0.939,nan,0.996,0.979,nan,nan,nan,nan,nan,nan,510.80,0.187,8700.000,3456.000,260.0255,33.4583,
17020,            2022-09-21 11:55:17,           2022-09-21 12:07:08,           SRC,         284.386,          79384,       10.5494,     Ca40,        39.962591,      1.3250,   -66.400,       8.5500,    8.300,        >5.00,        50.949,         14.489,          1.090,                  57.0560 ,-1,2049,257,1,-1,182.656,127.008,18.668,0.120,0.266,0.197,0.193,0.194,0.121,0.107,nan,1939.103,243.216,0.946,nan,0.997,0.979,nan,nan,nan,nan,nan,nan,62.20,0.219,8700.000,3456.000,260.0255,33.4583,fADC_check
17021,            2022-09-21 13:01:38,           2022-09-21 14:03:29,           SRC,         1769.596,          477971,       10.5494,     Ca40,        39.962591,      1.3250,   -66.400,       8.5500,    8.300,        >5.00,        50.429,         89.239,          6.714,                  49.5660 ,-1,2049,257,1,-1,179.702,125.258,18.435,0.117,0.258,0.193,0.189,0.190,0.118,0.104,nan,1930.261,242.107,0.942,nan,0.996,0.979,nan,nan,nan,nan,nan,nan,332.80,0.188,8700.000,3456.000,260.0255,33.4583,
17022,            2022-09-21 14:04:36,           2022-09-21 15:00:18,           SRC,         2079.302,          577270,       10.5494,     Ca40,        39.962591,      1.3250,   -66.400,       8.5500,    8.300,        >5.00,        52.536,         109.239,          8.219,                  46.7450 ,-1,2049,257,1,-1,187.526,130.611,19.194,0.124,0.273,0.203,0.199,0.200,0.124,0.110,nan,1931.426,242.253,0.943,nan,0.996,0.979,nan,nan,nan,nan,nan,nan,384.20,0.185,8700.000,3456.000,260.0255,33.4583,covfefe
17023,            2022-09-21 15:01:05,           2022-09-21 16:01:00,           SRC,         1914.945,          541651,       10.5494,     Ca40,        39.962591,      1.3250,   -66.400,       8.5500,    8.300,        >5.00,        52.641,         100.805,          7.584,                  45.7510 ,-1,2049,257,1,-1,188.780,131.227,19.244,0.126,0.280,0.205,0.201,0.202,0.126,0.112,nan,1931.445,242.255,0.943,nan,0.996,0.979,nan,nan,nan,nan,nan,nan,347.00,0.181,8700.000,3456.000,260.0255,33.4583,
17024,            2022-09-21 16:01:49,           2022-09-21 16:33:49,           SRC,         1432.052,          399156,       10.5494,     Ca40,        39.962591,      1.3250,   -66.400,       8.5500,    8.300,        >5.00,        52.513,         75.202,          5.658,                  50.4410 ,-1,2049,257,1,-1,188.771,131.012,19.187,0.127,0.284,0.207,0.202,0.203,0.128,0.113,nan,1925.388,241.496,0.940,nan,0.996,0.978,nan,nan,nan,nan,nan,nan,285.40,0.199,8700.000,3456.000,260.0255,33.4583,
17025,            2022-09-21 16:45:57,           2022-09-21 17:46:37,           SRC,         2538.416,          745044,       10.5494,     Ca40,        39.962591,      1.3250,   -66.400,       8.5500,    8.300,        >5.00,        54.585,         138.560,          10.425,                  45.5440 ,-1,2049,257,1,-1,197.151,136.464,19.940,0.136,0.303,0.219,0.214,0.215,0.136,0.120,nan,1925.154,241.466,0.940,nan,0.996,0.978,nan,nan,nan,nan,nan,nan,474.80,0.187,8700.000,3456.000,260.0255,33.4583,
17027,            2022-09-21 18:25:13,           2022-09-21 19:25:20,           SRC,         2329.909,          662266,       10.5494,     Ca40,        39.962591,      1.3250,   -66.400,       8.5500,    8.300,        >5.00,        52.727,         122.849,          9.243,                  41.8690 ,-1,2049,257,1,-1,190.364,131.921,19.303,0.130,0.290,0.210,0.206,0.206,0.130,0.116,nan,1928.107,241.837,0.941,nan,0.997,0.978,nan,nan,nan,nan,nan,nan,387.00,0.166,8700.000,3456.000,260.0255,33.4583,_A
17028,            2022-09-21 19:26:16,           2022-09-21 20:07:07,           SRC,         1282.313,          363881,       10.5494,     Ca40,        39.962591,      1.3250,   -66.400,       8.5500,    8.300,        >5.00,        52.623,         67.479,          5.077,                  41.2440 ,-1,2049,257,1,-1,190.021,131.735,18.963,0.127,0.285,0.207,0.203,0.202,0.128,0.113,nan,1920.236,240.850,0.937,nan,0.997,0.979,nan,nan,nan,nan,nan,nan,209.40,0.163,8700.000,3456.000,260.0255,33.4583,
17029,            2022-09-21 20:19:12,           2022-09-21 20:55:07,           SRC,         1117.393,          322653,       10.5494,     Ca40,        39.962591,      1.3250,   -66.400,       8.5500,    8.300,        >5.00,        52.827,         59.029,          4.441,                  45.9330 ,-1,2049,257,1,-1,190.735,132.192,19.336,0.130,0.291,0.211,0.207,0.207,0.131,0.116,nan,1921.489,241.007,0.938,nan,0.997,0.978,nan,nan,nan,nan,nan,nan,204.00,0.183,8700.000,3456.000,260.0255,33.4583,
17030,            2022-09-21 22:13:33,           2022-09-21 23:12:56,           SRC,         2116.874,          562359,       10.5494,     Ca40,        39.962591,      1.3250,   -66.400,       8.5500,    8.300,        >5.00,        49.517,         104.822,          7.887,                  46.2810 ,-1,2049,257,1,-1,177.987,123.785,18.171,0.118,0.262,0.193,0.189,0.190,0.119,0.105,nan,1926.128,241.589,0.940,nan,0.997,0.979,nan,nan,nan,nan,nan,nan,365.00,0.172,8700.000,3456.000,260.0255,33.4583,
17031,            2022-09-21 23:13:46,           2022-09-22 00:13:42,           SRC,         2468.687,          695884,       10.5494,     Ca40,        39.962591,      1.3250,   -66.400,       8.5500,    8.300,        >5.00,        52.423,         129.416,          9.737,                  48.1460 ,-1,2049,257,1,-1,189.451,131.376,19.213,0.129,0.288,0.209,0.205,0.205,0.130,0.115,nan,1931.983,242.323,0.943,nan,0.996,0.979,nan,nan,nan,nan,nan,nan,468.80,0.190,8700.000,3456.000,260.0255,33.4583,
17032,            2022-09-22 00:14:23,           2022-09-22 01:16:59,           SRC,         3033.568,          937848,       10.5494,     Ca40,        39.962591,      1.3250,   -66.400,       8.5500,    8.300,        >5.00,        57.781,         175.281,          13.188,                  47.0130 ,-1,2049,257,1,-1,209.483,144.917,21.153,0.144,0.323,0.233,0.228,0.228,0.145,0.128,nan,1923.890,241.308,0.939,nan,0.996,0.978,nan,nan,nan,nan,nan,nan,620.00,0.204,8700.000,3456.000,260.0255,33.4583,
17033,            2022-09-22 01:19:21,           2022-09-22 02:03:45,           SRC,         1636.980,          437309,       10.5494,     Ca40,        39.962591,      1.3250,   -66.400,       8.5500,    8.300,        >5.00,        50.259,         82.274,          6.190,                  52.8260 ,-1,2049,257,1,-1,180.345,125.540,18.343,0.119,0.264,0.195,0.191,0.192,0.119,0.106,nan,1926.793,241.672,0.940,nan,0.997,0.978,nan,nan,nan,nan,nan,nan,327.00,0.200,8700.000,3456.000,260.0255,33.4583,
17034,            2022-09-22 02:20:51,           2022-09-22 03:23:22,           SRC,         2712.265,          763252,       10.5494,     Ca40,        39.962591,      1.3250,   -66.400,       8.5500,    8.300,        >5.00,        52.895,         143.465,          10.794,                  49.7860 ,-1,2049,257,1,-1,190.506,132.316,19.374,0.128,0.285,0.209,0.204,0.205,0.129,0.114,nan,1928.698,241.911,0.941,nan,0.996,0.978,nan,nan,nan,nan,nan,nan,537.40,0.198,8700.000,3456.000,260.0255,33.4583,
17035,            2022-09-22 03:24:15,           2022-09-22 03:37:03,           SRC,         541.075,          173727,       10.5494,     Ca40,        39.962591,      1.3250,   -66.400,       8.5500,    8.300,        >5.00,        60.545,         32.759,          2.465,                  41.0590 ,-1,2049,257,1,-1,220.400,152.233,21.575,0.149,0.336,0.242,0.237,0.235,0.150,0.133,nan,1923.598,241.271,0.939,nan,0.997,0.977,nan,nan,nan,nan,nan,nan,101.20,0.187,8700.000,3456.000,260.0255,33.4583,
17036,            2022-09-22 03:54:22,           2022-09-22 04:47:04,           SRC,         1927.893,          837499,       10.5494,     Ca48,        47.952523,      1.3250,   -66.400,       8.5500,    8.300,        >5.00,        51.922,         100.101,          6.277,                  59.3930 ,-1,2049,257,1,-1,260.190,176.587,27.094,0.227,0.535,0.342,0.334,0.335,0.228,0.200,nan,1920.164,240.841,0.937,nan,0.996,0.969,nan,nan,nan,nan,nan,nan,372.80,0.193,8700.000,3456.000,216.7080,40.1462,
17037,            2022-09-22 04:54:30,           2022-09-22 05:43:32,           SRC,         1802.246,          765699,       10.5494,     Ca48,        47.952523,      1.3250,   -66.400,       8.5500,    8.300,        >5.00,        51.387,         92.611,          5.807,                  56.7230 ,-1,2049,257,1,-1,255.464,173.647,26.685,0.221,0.521,0.334,0.326,0.327,0.221,0.195,nan,1915.647,240.274,0.935,nan,0.997,0.969,nan,nan,nan,nan,nan,nan,329.40,0.183,8700.000,3456.000,216.7080,40.1462,
17038,            2022-09-22 05:55:53,           2022-09-22 06:16:39,           SRC,         917.647,          420047,       10.5494,     Ca48,        47.952523,      1.3250,   -66.400,       8.5500,    8.300,        >5.00,        55.110,         50.572,          3.171,                  60.7360 ,-1,2049,257,1,-1,275.130,186.394,28.555,0.243,0.576,0.365,0.356,0.357,0.244,0.215,nan,1910.757,239.661,0.933,nan,0.997,0.969,nan,nan,nan,nan,nan,nan,192.60,0.210,8700.000,3456.000,216.7080,40.1462,
