"run
number",start_run,end_run,"kin
study","beam_on_target
[sec]","evts
replayed","beam
energy
[GeV]",target,"target
mass
[amu]","HMS_P
[GeV/c]","HMS_Angle
[deg]","SHMS_P
[GeV/c]","SHMS_Angle
[deg]","BCM4A
thrs
[uA]","BCM4A
current
[uA]","BCM4A
charge
[mC]","integrated
luminosity
[fb^-1]",lumiNorm_counts[fb],PS1,PS2,PS3,PS5,PS6,"T1
scaler_rates
[kHz]","T2
scaler_rates
[kHz]","T3
scaler_rates
[kHz]","T5
scaler_rates
[kHz]","T6
scaler_rates
[kHz]","T1
accp_rates
[kHz]","T2
accp_rates
[kHz]","T3
accp_rates
[kHz]","T5
accp_rates
[kHz]","T6
accp_rates
[kHz]",T1_tLT,T2_tLT,T3_tLT,T5_tLT,T6_tLT,"HMS
TrkEff","SHMS
TrkEff","heep_singles
counts","heep_singles
rates [Hz]","heep_coin
counts","heep_coin
rates [Hz]","MF_real
counts","MF_real
rates [Hz]","SRC_real
counts","SRC_real
rates [Hz]",simc_counts_goal,"simc_charge_goal
[mC]","simc_integrated
luminosity
[fb^-1]",simc_lumiNorm_counts[fb],Comments
17100,            2022-09-27 04:57:45,           2022-09-27 05:09:48,           MF,         460.983,          245354,       10.5494,     Be9,        9.012182,      1.8200,   -48.300,       8.5500,    8.300,        >5.00,        59.938,         27.630,          11.270,                  2540.8620 ,-1,2049,129,1,-1,246.111,183.587,7.776,0.370,0.487,0.474,0.471,0.428,0.370,0.363,nan,1922.777,121.053,0.938,nan,0.993,0.980,nan,nan,nan,nan,28634.40,62.116,nan,nan,98000.000,144.000,58.7333,1668.5583,_A_A
17101,            2022-09-27 05:15:57,           2022-09-27 05:38:29,           MF,         790.398,          300974,       10.5494,     B10,        10.012937,      1.8200,   -48.300,       8.5500,    8.300,        >5.00,        55.971,         44.240,          9.500,                  3146.4640 ,-1,1025,65,1,-1,130.473,100.795,4.829,0.194,0.244,0.304,0.301,0.267,0.195,0.193,nan,966.183,61.270,0.943,nan,0.993,0.990,nan,nan,nan,nan,29890.40,37.817,nan,nan,57000.000,144.000,30.9214,1843.3830,
17102,            2022-09-27 05:44:29,           2022-09-27 05:55:50,           MF,         481.981,          185258,       10.5494,     B11,        11.009306,      1.8200,   -48.300,       8.5500,    8.300,        >5.00,        62.912,         30.322,          6.564,                  2854.7160 ,-1,2049,65,1,-1,159.975,123.223,6.127,0.219,0.282,0.295,0.292,0.311,0.220,0.217,nan,1909.926,60.588,0.932,nan,0.994,0.987,nan,nan,nan,nan,18737.20,38.875,nan,nan,63000.000,144.000,31.1705,2021.1403,
17106,            2022-09-27 08:34:47,           2022-09-27 09:34:00,           SRC,         2456.315,          563549,       10.5494,     Be9,        9.012182,      1.3250,   -66.400,       8.5500,    8.300,        >5.00,        57.311,         140.775,          57.418,                  13.5110 ,-1,2049,129,1,-1,234.091,174.780,7.235,0.074,0.142,0.174,0.171,0.131,0.075,0.068,nan,1912.060,120.379,0.933,nan,0.996,0.978,nan,nan,nan,nan,nan,nan,775.80,0.316,4600.000,1152.000,469.8667,9.7900,
17107,            2022-09-27 09:34:45,           2022-09-27 10:03:47,           SRC,         570.007,          144424,       10.5494,     Be9,        9.012182,      1.3250,   -66.400,       8.5500,    8.300,        >5.00,        59.401,         33.859,          13.810,                  13.9170 ,-1,2049,129,1,-1,242.733,181.013,7.495,0.078,0.150,0.181,0.178,0.137,0.079,0.072,nan,1908.336,120.144,0.931,nan,0.996,0.977,nan,nan,nan,nan,nan,nan,192.20,0.337,4600.000,1152.000,469.8667,9.7900,Beam_taken_away__short_run
17108,            2022-09-27 11:29:13,           2022-09-27 12:17:54,           SRC,         1410.100,          261418,       10.5494,     Be9,        9.012182,      1.3250,   -66.400,       8.5500,    8.300,        >5.00,        45.895,         64.717,          26.396,                  13.5700 ,-1,2049,129,1,-1,184.268,138.894,5.784,0.053,0.098,0.130,0.128,0.098,0.053,0.049,nan,1918.960,120.813,0.937,nan,0.996,0.982,nan,nan,nan,nan,nan,nan,358.20,0.254,4600.000,1152.000,469.8667,9.7900,Ended_early__beam_down
17110,            2022-09-27 12:32:09,           2022-09-27 13:34:12,           SRC,         2151.454,          348178,       10.5494,     Be9,        9.012182,      1.3250,   -66.400,       8.5500,    8.300,        >5.00,        41.289,         88.832,          36.232,                  14.7330 ,-1,2049,129,1,-1,164.052,124.429,5.209,0.044,0.080,0.113,0.111,0.085,0.045,0.041,nan,1921.409,120.967,0.938,nan,0.995,0.983,nan,nan,nan,nan,nan,nan,533.80,0.248,4600.000,1152.000,469.8667,9.7900,
17112,            2022-09-27 13:45:21,           2022-09-27 14:36:19,           SRC,         2203.567,          234370,       10.5494,     B10,        10.012937,      1.3250,   -66.400,       8.5500,    8.300,        >5.00,        43.304,         95.424,          20.491,                  19.7070 ,-1,2049,129,1,-1,99.105,77.267,3.898,0.025,0.041,0.067,0.066,0.056,0.025,0.024,nan,1923.311,121.087,0.939,nan,0.996,0.990,nan,nan,nan,nan,nan,nan,403.80,0.183,4500.000,1872.000,401.9783,11.1946,Beam_current_lowered_by_MCC__prescales_may_be_too_high
17113,            2022-09-27 14:37:26,           2022-09-27 15:37:00,           SRC,         2742.443,          645791,       10.5494,     B10,        10.012937,      1.3250,   -66.400,       8.5500,    8.300,        >5.00,        44.335,         121.586,          26.108,                  19.9550 ,-1,1025,33,1,-1,101.261,78.979,3.983,0.025,0.042,0.116,0.113,0.146,0.026,0.025,nan,961.957,30.970,0.938,nan,0.996,0.990,nan,nan,nan,nan,nan,nan,521.00,0.190,4500.000,1872.000,401.9783,11.1946,
17114,            2022-09-27 15:37:39,           2022-09-27 16:43:05,           SRC,         3241.426,          785199,       10.5494,     B10,        10.012937,      1.3250,   -66.400,       8.5500,    8.300,        >5.00,        45.759,         148.325,          31.850,                  20.2820 ,-1,1025,33,1,-1,104.406,81.405,4.104,0.026,0.043,0.121,0.118,0.151,0.027,0.026,nan,962.395,30.984,0.939,nan,0.996,0.989,nan,nan,nan,nan,nan,nan,646.00,0.199,4500.000,1872.000,401.9783,11.1946,
17115,            2022-09-27 16:44:21,           2022-09-27 17:29:01,           SRC,         1872.273,          486505,       10.5494,     B10,        10.012937,      1.3250,   -66.400,       8.5500,    8.300,        >5.00,        49.001,         91.743,          19.700,                  19.1880 ,-1,1025,33,1,-1,111.893,87.171,4.393,0.028,0.047,0.129,0.126,0.162,0.029,0.027,nan,960.944,30.938,0.938,nan,0.996,0.990,nan,nan,nan,nan,nan,nan,378.00,0.202,4500.000,1872.000,401.9783,11.1946,
17116,            2022-09-28 02:56:59,           2022-09-28 03:56:52,           SRC,         2779.162,          578733,       10.5494,     B11,        11.009306,      1.3250,   -66.400,       8.5500,    8.300,        >5.00,        59.263,         164.701,          35.651,                  20.9640 ,-1,2049,65,1,-1,148.966,114.805,6.129,0.046,0.081,0.117,0.114,0.140,0.046,0.043,nan,1924.049,61.036,0.939,nan,0.996,0.987,nan,nan,nan,nan,nan,nan,747.40,0.269,5000.000,1872.000,405.2168,12.3391,
17117,            2022-09-28 03:57:55,           2022-09-28 04:10:09,           SRC,         481.821,          95735,       10.5494,     B11,        11.009306,      1.3250,   -66.400,       8.5500,    8.300,        >5.00,        55.903,         26.935,          5.830,                  17.6320 ,-1,2049,65,1,-1,140.350,108.215,5.786,0.042,0.075,0.109,0.106,0.132,0.043,0.040,nan,1925.258,61.075,0.940,nan,0.995,0.985,nan,nan,nan,nan,nan,nan,102.80,0.213,5000.000,1872.000,405.2168,12.3391,fadcmode10
17118,            2022-09-28 04:27:12,           2022-09-28 05:26:48,           SRC,         3123.566,          664352,       10.5494,     B11,        11.009306,      1.3250,   -66.400,       8.5500,    8.300,        >5.00,        60.848,         190.061,          41.141,                  20.4270 ,-1,2049,65,1,-1,153.127,117.930,6.296,0.048,0.084,0.121,0.118,0.145,0.048,0.045,nan,1920.444,60.922,0.937,nan,0.995,0.986,nan,nan,nan,nan,nan,nan,840.40,0.269,5000.000,1872.000,405.2168,12.3391,
17120,            2022-09-28 06:31:35,           2022-09-28 06:33:43,           SRC,         128.332,          30299,       10.5494,     B11,        11.009306,      1.3250,   -66.400,       8.5500,    8.300,        >5.00,        65.315,         8.382,          1.814,                  28.6600 ,-1,2049,65,1,-1,164.668,126.766,6.754,0.051,0.092,0.136,0.133,0.162,0.054,0.051,nan,1996.092,63.322,0.974,nan,0.995,0.991,nan,nan,nan,nan,nan,nan,52.00,0.405,5000.000,1872.000,405.2168,12.3391,
17119,            2022-09-28 05:27:47,           2022-09-28 06:29:55,           SRC,         3275.092,          691421,       10.5494,     B11,        11.009306,      1.3250,   -66.400,       8.5500,    8.300,        >5.00,        60.428,         197.906,          42.839,                  18.9360 ,-1,2049,65,1,-1,152.035,117.143,6.254,0.047,0.084,0.120,0.117,0.144,0.048,0.044,nan,1916.418,60.794,0.935,nan,0.995,0.986,nan,nan,nan,nan,nan,nan,811.20,0.248,5000.000,1872.000,405.2168,12.3391,
17120,            2022-09-28 06:31:35,           2022-09-28 07:45:11,           SRC,         3915.455,          838760,       10.5494,     B11,        11.009306,      1.3250,   -66.400,       8.5500,    8.300,        >5.00,        61.357,         240.242,          52.003,                  20.6260 ,-1,2049,65,1,-1,154.407,118.921,6.347,0.048,0.085,0.122,0.119,0.146,0.049,0.045,nan,1924.183,61.040,0.939,nan,0.995,0.986,nan,nan,nan,nan,nan,nan,1072.60,0.274,5000.000,1872.000,405.2168,12.3391,
17122,            2022-09-28 08:42:45,           2022-09-28 09:22:44,           SRC,         1691.980,          364397,       10.5494,     B11,        11.009306,      1.3250,   -66.400,       8.5500,    8.300,        >5.00,        60.962,         103.146,          22.327,                  19.1870 ,-1,2049,65,1,-1,153.301,118.106,6.304,0.047,0.084,0.121,0.118,0.145,0.048,0.045,nan,1918.135,60.849,0.936,nan,0.995,0.986,nan,nan,nan,nan,nan,nan,428.40,0.253,5000.000,1872.000,405.2168,12.3391,
17121,            2022-09-28 07:46:12,           2022-09-28 08:42:07,           SRC,         2344.313,          498510,       10.5494,     B11,        11.009306,      1.3250,   -66.400,       8.5500,    8.300,        >5.00,        60.002,         140.663,          30.448,                  20.8160 ,-1,2049,65,1,-1,150.916,116.274,6.206,0.047,0.083,0.120,0.116,0.143,0.048,0.044,nan,1915.949,60.779,0.935,nan,0.995,0.986,nan,nan,nan,nan,nan,nan,633.80,0.270,5000.000,1872.000,405.2168,12.3391,
17123,            2022-09-28 09:33:40,           2022-09-28 09:55:13,           SRC,         849.954,          182867,       10.5494,     B11,        11.009306,      1.3250,   -66.400,       8.5500,    8.300,        >5.00,        60.618,         51.522,          11.153,                  20.5510 ,-1,2049,65,1,-1,152.451,117.423,6.270,0.047,0.084,0.120,0.117,0.144,0.048,0.044,nan,1920.560,60.926,0.937,nan,0.994,0.986,nan,nan,nan,nan,nan,nan,229.20,0.270,5000.000,1872.000,405.2168,12.3391,
17125,            2022-09-28 10:38:44,           2022-09-28 11:43:54,           SRC,         3042.293,          964121,       10.5494,     B10,        10.012937,      1.3250,   -66.400,       8.5500,    8.300,        >5.00,        59.511,         181.049,          38.877,                  19.4920 ,-1,1025,33,1,-1,137.421,106.057,5.348,0.040,0.069,0.168,0.162,0.202,0.040,0.038,nan,961.578,30.958,0.938,nan,0.995,0.987,nan,nan,nan,nan,nan,nan,757.80,0.249,4500.000,1872.000,401.9783,11.1946,
17126,            2022-09-28 11:44:31,           2022-09-28 12:46:15,           SRC,         2574.458,          813085,       10.5494,     B10,        10.012937,      1.3250,   -66.400,       8.5500,    8.300,        >5.00,        58.983,         151.848,          32.607,                  20.1680 ,-1,1025,33,1,-1,136.347,105.242,5.301,0.039,0.068,0.166,0.161,0.200,0.040,0.038,nan,962.593,30.991,0.939,nan,0.995,0.988,nan,nan,nan,nan,nan,nan,657.60,0.255,4500.000,1872.000,401.9783,11.1946,
17127,            2022-09-28 12:46:54,           2022-09-28 13:46:24,           SRC,         3073.644,          983844,       10.5494,     B10,        10.012937,      1.3250,   -66.400,       8.5500,    8.300,        >5.00,        60.279,         185.275,          39.784,                  19.9830 ,-1,1025,33,1,-1,139.441,107.604,5.418,0.040,0.070,0.170,0.165,0.205,0.041,0.039,nan,964.970,31.067,0.941,nan,0.995,0.986,nan,nan,nan,nan,nan,nan,795.00,0.259,4500.000,1872.000,401.9783,11.1946,
17128,            2022-09-28 13:47:01,           2022-09-28 14:33:26,           SRC,         2239.848,          683720,       10.5494,     B10,        10.012937,      1.3250,   -66.400,       8.5500,    8.300,        >5.00,        57.341,         128.434,          27.579,                  21.4580 ,-1,1025,33,1,-1,132.447,102.310,5.151,0.038,0.065,0.161,0.156,0.194,0.039,0.036,nan,958.102,30.846,0.935,nan,0.995,0.987,nan,nan,nan,nan,nan,nan,591.80,0.264,4500.000,1872.000,401.9783,11.1946,
17129,            2022-09-28 14:38:24,           2022-09-28 15:35:37,           SRC,         2394.482,          745774,       10.5494,     Be9,        9.012182,      1.3250,   -66.400,       8.5500,    8.300,        >5.00,        62.492,         149.637,          61.032,                  13.7530 ,-1,2049,65,1,-1,255.731,189.951,7.861,0.085,0.165,0.209,0.202,0.206,0.086,0.078,nan,1912.990,60.685,0.934,nan,0.995,0.974,nan,nan,nan,nan,nan,nan,839.40,0.351,4600.000,1152.000,469.8667,9.7900,
17131,            2022-09-28 16:38:27,           2022-09-28 17:28:00,           SRC,         1874.714,          596189,       10.5494,     Be9,        9.012182,      1.3250,   -66.400,       8.5500,    8.300,        >5.00,        63.493,         119.031,          48.549,                  13.9980 ,-1,2049,65,1,-1,259.960,192.947,7.985,0.087,0.169,0.213,0.206,0.210,0.087,0.080,nan,1912.685,60.676,0.933,nan,0.995,0.975,nan,nan,nan,nan,nan,nan,679.60,0.363,4600.000,1152.000,469.8667,9.7900,
17130,            2022-09-28 15:36:17,           2022-09-28 16:37:45,           SRC,         3027.275,          952595,       10.5494,     Be9,        9.012182,      1.3250,   -66.400,       8.5500,    8.300,        >5.00,        63.546,         192.371,          78.463,                  12.8470 ,-1,2049,65,1,-1,260.182,193.154,7.991,0.087,0.169,0.213,0.206,0.210,0.087,0.080,nan,1914.383,60.730,0.934,nan,0.995,0.975,nan,nan,nan,nan,nan,nan,1008.00,0.333,4600.000,1152.000,469.8667,9.7900,
17132,            2022-09-28 17:34:18,           2022-09-28 18:37:30,           SRC,         2966.057,          922065,       10.5494,     Be9,        9.012182,      1.3250,   -66.400,       8.5500,    8.300,        >5.00,        62.575,         185.602,          75.702,                  13.0540 ,-1,2049,65,1,-1,256.057,190.131,7.871,0.086,0.166,0.210,0.203,0.207,0.086,0.079,nan,1914.868,60.745,0.935,nan,0.995,0.974,nan,nan,nan,nan,nan,nan,988.20,0.333,4600.000,1152.000,469.8667,9.7900,
17134,            2022-09-28 18:52:21,           2022-09-28 20:08:26,           SRC,         3525.302,          930780,       10.5494,     LD2,        2.014102,      1.3250,   -66.400,       8.5500,    8.300,        >5.00,        61.991,         218.539,          681.073,                  0.7520 ,-1,4097,33,1,-1,499.104,348.104,3.478,0.063,0.136,0.195,0.183,0.167,0.063,0.059,nan,3811.863,30.703,0.930,nan,0.994,0.943,nan,nan,nan,nan,nan,nan,512.00,0.145,5300.000,2016.000,6282.8392,0.8436,
17136,            2022-09-28 21:15:54,           2022-09-28 22:18:00,           SRC,         3051.871,          586440,       10.5494,     Fe54,        53.939615,      1.3250,   -66.400,       8.5500,    8.300,        >5.00,        61.191,         186.748,          54.074,                  6.7460 ,-1,1025,129,1,-1,89.173,67.957,9.726,0.039,0.073,0.113,0.111,0.115,0.039,0.036,nan,960.327,120.861,0.937,nan,0.995,0.990,nan,nan,nan,nan,nan,nan,364.80,0.120,8700.000,5760.000,1667.8372,5.2163,
17135,            2022-09-28 20:18:48,           2022-09-28 21:15:14,           SRC,         2668.254,          501224,       10.5494,     Fe54,        53.939615,      1.3250,   -66.400,       8.5500,    8.300,        >5.00,        59.637,         159.127,          46.076,                  6.5760 ,-1,1025,129,1,-1,86.883,66.201,9.485,0.037,0.071,0.110,0.108,0.112,0.038,0.034,nan,960.123,120.835,0.937,nan,0.995,0.990,nan,nan,nan,nan,nan,nan,303.00,0.114,8700.000,5760.000,1667.8372,5.2163,n
17138,            2022-09-29 00:11:02,           2022-09-29 01:14:31,           SRC,         3264.880,          614400,       10.5494,     Fe54,        53.939615,      1.3250,   -66.400,       8.5500,    8.300,        >5.00,        59.773,         195.150,          56.507,                  6.5300 ,-1,1025,129,1,-1,87.176,66.468,9.518,0.037,0.071,0.111,0.109,0.113,0.038,0.035,nan,961.709,121.035,0.938,nan,0.995,0.990,nan,nan,nan,nan,nan,nan,369.00,0.113,8700.000,5760.000,1667.8372,5.2163,
17140,            2022-09-29 01:18:13,           2022-09-29 02:17:53,           SRC,         2775.665,          484603,       10.5494,     Fe54,        53.939615,      1.3250,   -66.400,       8.5500,    8.300,        >5.00,        55.325,         153.562,          44.465,                  6.6570 ,-1,1025,129,1,-1,80.430,61.411,8.807,0.034,0.064,0.101,0.099,0.103,0.034,0.031,nan,958.751,120.662,0.935,nan,0.995,0.990,nan,nan,nan,nan,nan,nan,296.00,0.107,8700.000,5760.000,1667.8372,5.2163,
17141,            2022-09-29 02:18:32,           2022-09-29 03:17:17,           SRC,         2974.975,          519317,       10.5494,     Fe54,        53.939615,      1.3250,   -66.400,       8.5500,    8.300,        >5.00,        56.170,         167.105,          48.386,                  6.5760 ,-1,1025,129,1,-1,81.383,62.313,8.950,0.033,0.061,0.101,0.099,0.103,0.034,0.031,nan,961.560,121.016,0.938,nan,0.995,0.991,nan,nan,nan,nan,nan,nan,318.20,0.107,8700.000,5760.000,1667.8372,5.2163,
17142,            2022-09-29 03:17:56,           2022-09-29 04:16:48,           SRC,         3321.088,          608411,       10.5494,     Fe54,        53.939615,      1.3250,   -66.400,       8.5500,    8.300,        >5.00,        59.231,         196.711,          56.959,                  6.8470 ,-1,1025,129,1,-1,85.991,65.774,9.436,0.036,0.066,0.107,0.106,0.110,0.036,0.033,nan,962.068,121.080,0.939,nan,0.995,0.991,nan,nan,nan,nan,nan,nan,390.00,0.117,8700.000,5760.000,1667.8372,5.2163,
17143,            2022-09-29 04:17:25,           2022-09-29 05:24:01,           SRC,         3518.709,          633226,       10.5494,     Fe54,        53.939615,      1.3250,   -66.400,       8.5500,    8.300,        >5.00,        58.011,         204.124,          59.105,                  7.1570 ,-1,1025,129,1,-1,84.135,64.387,9.234,0.035,0.064,0.104,0.103,0.107,0.035,0.032,nan,960.954,120.940,0.938,nan,0.995,0.991,nan,nan,nan,nan,nan,nan,423.00,0.120,8700.000,5760.000,1667.8372,5.2163,
17144,            2022-09-29 05:24:40,           2022-09-29 06:30:56,           SRC,         3809.779,          723544,       10.5494,     Fe54,        53.939615,      1.3250,   -66.400,       8.5500,    8.300,        >5.00,        61.637,         234.824,          67.995,                  7.2210 ,-1,1025,129,1,-1,89.385,68.356,9.798,0.037,0.069,0.112,0.110,0.114,0.038,0.034,nan,959.125,120.709,0.936,nan,0.995,0.991,nan,nan,nan,nan,nan,nan,491.00,0.129,8700.000,5760.000,1667.8372,5.2163,Final_run__beam_taken_away
16432,            2022-08-23 11:26:34,           2022-08-23 12:53:35,           bcm_calib,         5221.032,          52056,       10.5494,     LH2,        1.007940,      5.5870,   -12.500,       8.5500,    8.295,        >-1.00,        14.234,         74.314,          nan,                  nan ,-1,-1,-1,-1,-1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
